tender_no,title,organization,status,closing_date
LP/T-2379/26,SUPPLY OF WOOD FREE OFFSET PAPER 19”X21”/63 GSM,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 2, 2026"
SLL/SC/1275,Attendance & Payroll software Backup Rental,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
SSGC/LP/EPADS/NR/2117016,SSGC/LP/EPADS/NR/2117016 (Spares),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
LET/167/25,"SCADA ENGINEERING WORKSTATION, REMOTE & SERVER MACHINES","Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 2, 2026"
--,"Tender of Firm for Miscellaneous Items, PTV Peshawar Centre","Pakistan Television Corporation Limited,Islamabad, Pakistan",,"Jan 2, 2026"
SSGC/LP/EPADS/NR/2117019,SSGC/LP/EPADS/NR/2117019 (Domestic Appliances),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
FOB/C&F & FOR (Only for Local Manufacturers SRO 827(1)/2001),Coke Breeze Backfill,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
LED/001/26,ORIGINAL TONER,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 2, 2026"
SLL-NR-1276,Proposal for Purchase & Implementation of Recruitment Module,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
CUI/Atd/Admin Printing/28 (2025-2026),"Procurement of Panaflex, Broacher etc.","COMSATS University,Abbottabad, Pakistan",,"Jan 2, 2026"
FOB/C&F/FOR Basis,Gas Engine Generator (63 KVA),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
FOB/C&F/FOR Basis,Gas Engine Generator (100 KVA),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
SLL-NR-1274,Supply of Batteries for Terminal Generators & Fire Pumps Supply of Batteries for Terminal Generators & Fire Pumps at,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
LED/121/25,PRINTED MATERIAL,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 2, 2026"
LET/186/25,SURFACE PROFILE GAUGE & 05 OTHER ITEMS,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 2, 2026"
OPF-1372,PROCUREMENT OF WINTER UNIFORM 2025-26 FOR OPF OFFICIALS DEPUTED AT INTERNATIONAL AIRPORTS ACROSS PAKISTAN,"Overseas Pakistanis Foundation,Islamabad, Pakistan",,"Jan 2, 2026"
"Tender NO. 10, 11 & 12","Supply of Store/Hardware,Installation&Commisioning 11kVetc","Pakistan MINT,Lahore, Pakistan",,"Jan 2, 2026"
2004,Furniture Items,"Garrison Headquarters,Kharian, Pakistan",,"Jan 2, 2026"
SLL-NR-1266,Consultancy to Develop Tender Documents & Technical Specific,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
SLIC CASH CARRY SERVICE/03/2025,Cash & Carry Services,"State Life Insurance Corporation of Pakistan,Behrain, Pakistan",,"Jan 2, 2026"
GMCM/Trnspt/TGS/LHE/01/25,Transport Services,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 2, 2026"
NTOC,14x ETTM Toll Plazas,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 2, 2026"
BE(IT)50(1)2018/2025-26,Renewal of 09 FortiGate Firewalls & Softwares,"Bureau of Emigration and Overseas Employment,Islamabad, Pakistan",,"Jan 2, 2026"
GF-19341-JA,LPG..,"Pakistan State Oil,Karachi east, Pakistan",,"Jan 2, 2026"
GF-19335-JA,LPG..,"Pakistan State Oil,Karachi central, Pakistan",,"Jan 2, 2026"
GF-19353-JA,LPG...,"Pakistan State Oil,Karachi east, Pakistan",,"Jan 2, 2026"
03-IRADA-/2025-26,MISCELLANEOUS AGRO CHEMICAL PESTICIDES,"Ministry of Science and Technology,Karachi central, Pakistan",,"Jan 2, 2026"
CP/03/2025-26/ITD,Fortigate-201F Unified Threat Protection (UTP,"Supreme Court of Pakistan,Islamabad, Pakistan",,"Jan 2, 2026"
EOBI/HO/ IT/ WAN/04/2025,Establishment of Managed WAN Services for EOBI,"Employees Old-Age Benefits Institution,Karachi central, Pakistan",,"Jan 2, 2026"
GSC-14/2025-26,Const of Electrical Equipment,"Hyderabad Electric Supply Company (HESCO),Hyderabad city, Pakistan",,"Jan 2, 2026"
,Solarization,"Cantonment Board,Mardan, Pakistan",,"Jan 2, 2026"
1-2025-28,"Supply of Stores, Misc Items,etc..","National Highway and Motorway Police (NHMP),Karachi central, Pakistan",,"Jan 2, 2026"
99A(A),Vehicles for Sale..,"Pakistan Steel,Karachi central, Pakistan",,"Jan 2, 2026"
,"Const of Residential Blocks,etc..","President's Secretariat (Personal),Islamabad, Pakistan",,"Jan 1, 2026"
613-621disp,FESCO OPEN AUCTION DISPOSAL NOTICE Unserviceable Material,"Faisalabad Electric Supply Company (FESCO),Faisalabad, Pakistan",,"Jan 2, 2026"
CUI-Proc/(TN-716/01/2026),Event Management for (Orientation Spring 2026 at CUI),"COMSATS University,Islamabad, Pakistan",,"Jan 2, 2026"
"08,29,03,19,52,67,07,09,54,40,44,07,18,20,21/LP/SAA&BM/56","08,29,03,19,52,67,07,09,54,40,44,07,18,20,21/LP/SAA&BM/56 PROCUREMENT OF DIFFERENT STORES","Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 2, 2026"
SUPPLY OF BATTERY BANKS/RE-ROUTING OF EXISTING OFC SERVICES,INVITATION TO e-BIDS,"National Telecommunication Corporation (NTC),Islamabad, Pakistan",,"Jan 2, 2026"
"INVITATION FOR BID/Deputy Manager Civil, A.M(N) NGC,Isb.","XEN-CIVIL-NGC-ISB-02/2025-26 CONSTRUCTION OF SECURITY OFFICE, BOUNDARY WALL","National Transmission and Despatch Company,Lahore, Pakistan",,"Jan 2, 2026"
5126/IT-5701/25-26/FOB/GF/SCM,Procurement of CNC Deep Hole Boring Machine,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 2, 2026"
,Hiring of Manpower ...,"Cabinet Division,Islamabad, Pakistan",,"Jan 1, 2026"
5041/RT-6602/FOR-A/HRF (M)/SCM/25-26,Procurement of Spares for Rebuild of APC,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Jan 2, 2026"
CC/Roof/Store/LHR/2026,Re Const of Roof..,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 1, 2026"
,Certain Facilities,"Military Engineering Services (Navy),Islamabad, Pakistan",,"Jan 1, 2026"
2026-17,Cochlear Implant surgeries,"Pakistan Bait-ul-Mal,Islamabad Capital Territory (ICT), Pakistan",,"Jan 2, 2026"
"6900/CC-489 to CL-320,31 & 555/352/E-6..","Fence Alongwith Road ,etc..","Military Engineering Services (Navy),Islamabad, Pakistan",,"Jan 2, 2026"
Const/ Proc of certain Residential / Non Residential Facilities.,Const/ Proc of certain Residential / Non Residential Facilities..,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Jan 1, 2026"
17,Tender for preparation of Customs Day Tender to be opened on 16-01-2026 published on EPADS.,"Collectorate of Customs (Enforcement), Peshawar,Peshawar, Pakistan",,"Jan 2, 2026"
702/Accts,"Gen Store items,etc..","HQ 45 Engineer Div,Rawalpindi, Pakistan",,"Jan 1, 2026"
01/2026,Auction,"Public Sector Organization,Mianwali, Pakistan",,"Jan 1, 2026"
PACB/741/53032010/0962/P-1,Procurement of Chemicals,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Jan 2, 2026"
LP/T-2354/25,"Project Supply Hiring, Services for Installation, Commissioning, Test Run of Complete Effluent Treatment Plant","Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Jan 2, 2026"
PRD(L)/WAPDA/160(2025-26),WAPDA CE & PD CRBC LINK CANAL PROJECT CHASHMA WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 2, 2026"
"0211,0016,0021,0209,0203,0210,0335/55,0030,0241",PAKISTAN ORDINANCE FACTORY SANJWAL CANTT ATTOCK,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Jan 2, 2026"
PRD(L)/WAPDA/161(2025-26),WAPDA RE CHITRAL GOLEN GOL WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 2, 2026"
01/2026,"Safety Helmet,etc..","Public Sector Organization,Islamabad, Pakistan",,"Jan 1, 2026"
PRD(L)/WAPDA/162(2025-26),WAPDA RE GGHPS WAPDA KOGHUZI CHITRAL KPK WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 2, 2026"
CICP/E01/IND/2511120/B-2601/ 320386,"PROCUREMENT OF SPINNAKAR 470, V-02-0.75 (WHITE) SPINNAKER","Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 2, 2026"
CICP/E01/IND/2511127/B-2601/ 320385,PROCUREMENT OF MAST LASER,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 2, 2026"
2590363/B2512/360380,PROCUREMENT OF PRACTICE ROUND FOR 76mm NAVAL GUN,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 2, 2026"
PRD(L)/WAPDA/159(2025-26),WAPDA RE CHICHOKI POWER STATION WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Jan 2, 2026"
2590287/R-2512/310367,INFANT WARMER,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 2, 2026"
2590291/R-2512/310371,MORTUARY REFIGERATOR,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 2, 2026"
Ref.No.PMDC/Pro/MIne No 29&4/WA,Tender Notice for jansukh Mine No. 29 & Kaoryan 04 Warcha,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Jan 2, 2026"
2590292/R-2512/310372,FULLY AUTOMATIC CHEMISTRY ANALYZER,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 2, 2026"
2590286/R-2512/310366,DIATHERMY MACHINE WITH ACCESSORIES,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 2, 2026"
PSW/PROC/24-25/DMO-318,HIRING OF SERVICES FOR DATA WAREHOUSE MIGRATION,"Pakistan Single Window (PSW),Islamabad, Pakistan",,"Jan 2, 2026"
IC-19363-NZ,Supply of Gifts and Giveaways,"Pakistan State Oil,Karachi south, Pakistan",,"Jan 1, 2026"
NOR-121J-R2-2025,"Supply of 132/11.5KV, 10/13 MVA Power Transformers","National Grid Company of Pakistan Limited NGC,Lahore, Pakistan",,"Jan 1, 2026"
I&P/Revamping/Repair/Store/25-26 Pakistan,Revamping and Repair of Meteorological Store,"Pakistan Meteorological Department,Islamabad, Pakistan",,"Jan 1, 2026"
FCS/NSRTE/027/25,Hardware Material,"Sui Northern Gas Pipelines Limited,Charsadda, Pakistan",,"Jan 1, 2026"
Procurement of Air Compressor / Photocopier Machine,Air Compressor / Photocopier Machine,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Jan 2, 2026"
,Prequalification of Hospitals,"National Fertilizer Corporation,Faisalabad, Pakistan",,"Jan 1, 2026"
FST/TE/001/26,Misc. Electrical Appliances Procurement of Misc. Electrical Appliances,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Jan 2, 2026"
IAC/ENG/Compressor/25,IAC/ENG/Compressor/25,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 1, 2026"
SN-4767/25,Screwed Fitting,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 1, 2026"
FSD-002-26,Juices..,"Pakistan International Airline (PIA),Karachi east, Pakistan",,"Jan 1, 2026"
Eng- North-001,Load Cells of Weighbridge ... Load Cells of Weighbridge ..,"Export Processing Zones Authority,Karachi central, Pakistan",,"Jan 1, 2026"
01012026-q1,Repair and Maintenance of House,"Capital Development Authority,Islamabad, Pakistan",,"Jan 1, 2026"
UCH/TE/001/2026,"GI M10 BOLT J-TYРЕ HООK, WITH NUT, CUP AND RUBBER WASHER","Sui Northern Gas Pipelines Limited,Bahawalnagar, Pakistan",,"Jan 1, 2026"
GSU (NNO)/ 360830 / UPS Batteries / 2025-26,Supply & Installation of Maintenance Free Dry Batteries,"State Bank of Pakistan,Karachi central, Pakistan",,"Jan 1, 2026"
PCB-COm1,Outdoor Media Agency Services,"Pakistan Cricket Board,Islamabad, Pakistan",,"Jan 1, 2026"
SSGC/LP/EPADS/PT/2116012,SSGC/LP/EPADS/PT/2116012 (POLYETHYLENE PIPE (PE-100) 125 MM),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 2, 2026"
SSGC/LP/EPADS/PT/2116009,SSGC/LP/EPADS/PT/2116009 (POLYETHYLENE PIPE (PE-100) 40 MM),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
SSGC/LP/EPADS/PT/2116011,SSGC/LP/EPADS/PT/2116011 (POLYETHYLENE PIPE (PE-100) 63 MM),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
SSGC/LP/EPADS/PT/2116010,SSGC/LP/EPADS/PT/2116010 (PE Pipe - 20mm),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
SSGC/LP/EPADS/PT/2116016,SSGC/LP/EPADS/PT/2116016 (Tyres/Tubes/Flappers),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
SSGC/LP/EPADS/PT/2116013,SSGC/LP/EPADS/PT/2116013 (Motor Vehicle),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
SSGC/LP/EPADS/PT/2116015,SSGC/LP/EPADS/PT/2116015 (Cement),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
SSGC/LP/EPADS/PT/2115008,SSGC/LP/EPADS/PT/2115008 (Offset Swivel),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
SLL-PT-1265,Inspection of Trestle & Tank Area LPG & Firewater Piping,"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
ENG-187-25,Dry Cleaning ..,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 1, 2026"
2(112)SS(IT)/2025,Hiring of Oracle Security Support Services,"Federal Board of Revenue (FBR),Islamabad, Pakistan",,"Jan 1, 2026"
,Hiring of Legal Advisor..,"Chief Commissioner Large Taxpayers Unit,Lahore, Pakistan",,"Jan 1, 2026"
,Offfice Space Required,"Pakistan Digital Authority (PDA),Islamabad, Pakistan",,"Jan 1, 2026"
PD/O&M/PP/32522/26,"Supply of pressure transmitter,etc..","Pakistan Petroleum Limited,Karachi central, Pakistan",,"Jan 1, 2026"
6000/ADV/217/E6,"Rehab of Bathrooms and Offices,etc..","Military Engineering Services (Army),Taxila, Pakistan",,"Jan 1, 2026"
,Purchase/Supply and Assembling of Furniture Items,"Oil and Gas Regulatory Authority (OGRA),Islamabad, Pakistan",,"Jan 1, 2026"
,"Cotton Nawar,etc..","HQ Frontier Corps (KPK),Peshawar, Pakistan",,"Jan 1, 2026"
"Printing of CUI Stationery,etc..","Printing of CUI Stationery,etc..","COMSATS,Islamabad, Pakistan",,"Jan 1, 2026"
21-B/0/PSC/2024-25,"Special Repair,etc..","Pakistan Railways,Peshawar, Pakistan",,"Jan 1, 2026"
FSD-25010123,Paper Tray Mat,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 1, 2026"
FSD-25010116,Brown Paper,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Jan 1, 2026"
SSGC/LP/NT/PT/2116014,SSGC/LP/NT/PT/2116014 (SERVICE VALVES),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Jan 1, 2026"
,,"Pakistan International Airline (PIA),Karachi central, Pakistan Dry Cleaning ..  Dry Cleaning ..  ENG-187-25",,"Jan 1, 2026"
,,"Federal Board of Revenue (FBR),Islamabad, Pakistan Hiring of Oracle Security Support Services  Hiring of Oracle Security Support Services  2(112)SS(IT)/2025",,"Jan 1, 2026"
,,"Chief Commissioner  Large Taxpayers Unit,Lahore, Pakistan Hiring of Legal Advisor..  Hiring of Legal Advisor..",,"Jan 1, 2026"
,,"Pakistan Digital Authority (PDA),Islamabad, Pakistan Offfice Space Required  Offfice Space Required",,"Jan 1, 2026"
,,"Pakistan Petroleum Limited,Karachi central, Pakistan Supply of pressure transmitter,etc..  Supply of pressure transmitter,etc..  PD/O&M/PP/32522/26",,"Jan 1, 2026"
,,"Military Engineering Services (Army),Taxila, Pakistan Rehab of Bathrooms and Offices,etc..  Rehab of Bathrooms and Offices,etc..  6000/ADV/217/E6",,"Jan 1, 2026"
,,"Oil and Gas Regulatory Authority (OGRA),Islamabad, Pakistan Purchase/Supply and Assembling of Furniture Items  Purchase/Supply and Assembling of Furniture Items",,"Jan 1, 2026"
,,"HQ Frontier Corps (KPK),Peshawar, Pakistan Cotton Nawar,etc..  Cotton Nawar,etc..",,"Jan 1, 2026"
,,"COMSATS,Islamabad, Pakistan Printing of CUI Stationery,etc..  Printing of CUI Stationery,etc..  Printing of CUI Stationery,etc..",,"Jan 1, 2026"
,,"Pakistan Railways,Peshawar, Pakistan Special Repair,etc..  Special Repair,etc..  21-B/0/PSC/2024-25",,"Jan 1, 2026"
,,"National Telecommunication Corporation (NTC),Lahore, Pakistan Auction   Auction",,"Jan 1, 2026"
12055,INVITATION FOR BIDS SUPPLY & INSTALLATION OF PASSENGER BOARD,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Jan 1, 2026"
2590289/R-2512/310369,SINGLE PHOTOTHERAPY UNIT,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 1, 2026"
2590288/R-2512/310368,DOUBLE PHOTOTHERAPY UNIT,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 1, 2026"
PCB-COM,LIVE STREAM MEDIA RIGHTS-PAKISTAN REGION,"Pakistan Cricket Board,Islamabad, Pakistan",,"Jan 1, 2026"
,,"Directorate of Procurement (Navy),Islamabad, Pakistan PROCUREMENT OF HEI ROUNDS 7 x 30mm NAVAL GUN    2590364/B-2512/360379",,"Jan 1, 2026"
,,"Cantonment Board,Mangla, Pakistan Auction   Auction",,"Jan 1, 2026"
,,"Pakistan Cotton Standards Institute,Multan City, Pakistan Supply of weedicides, fertilizers and insecticides..  Supply of weedicides, fertilizers and insecticides..  CCRI/01/2026",,"Jan 1, 2026"
,,"Pakistan Electronic Media Regulatory Authority (PEMRA),Islamabad, Pakistan Supply of IT Equipment & Licenses  Supply of IT Equipment & Licenses  IT",,"Jan 1, 2026"
,,"Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan Procurement of ( ERP) Software Services  Procurement of ( ERP) Software Services",,"Jan 1, 2026"
,,"Printing Corporation of Pakistan (PCP),Islamabad, Pakistan SALE/DISPOSAL OF WASTE PAPER LYING AT PCP PRESS, KARACHI    Admn.28(6)/2022-PCP",,"Jan 1, 2026"
,,"Public Sector Organization,Mianwali, Pakistan Auction   Auction   11/2025",,"Dec 31, 2025"
,,"Ammunition Depot,Karachi central, Pakistan Misc Items   Paint , Telephone set,etc..",,"Jan 1, 2026"
,,"Garrison Headquarters,Karachi central, Pakistan Furniture Items   Furniture Items    2013",,"Jan 1, 2026"
,,"Garrison Furniture Yard,Lahore, Pakistan Supply of Furniture..  Supply of Furniture..  1640",,"Jan 1, 2026"
,,"Pakistan Cricket Board,Islamabad, Pakistan PROCUREMENT OF ALL TYPES OF GOODS & SERVICES  PROCUREMENT OF ALL TYPES OF GOODS & SERVICES  PCB-16-2025",,"Jan 1, 2026"
,,"Archaeological Department and Museum,Karachi central, Pakistan Outsourcing of Services  Outsourcing of Services  10A/24/BUDg/2025( ACCt)",,"Dec 31, 2025"
GSD (PROC-III)/ 361498 / Chairs / 2025-26,Supply of All Kinds of Chairs for SBP,"State Bank of Pakistan,Karachi west, Pakistan",,"Dec 31, 2025"
,"Hiring of Security Services at SLBs LHR,GUJ,MTN&FSD RED-LHR-SEC-SLBs(LHR,MTN,FSD&GUJ)-15-2025","State Life Insurance Corporation of Pakistan,Lahore, Pakistan",,"Dec 31, 2025"
Sector-Il Sakrand/25-26/03,Cutting & Stiching of Uniform,"National Highway and Motorway Police (NHMP),Sakrand, Pakistan",,"Dec 31, 2025"
,"Upgradation, repair, and internal relocation","Pakistan Meteorological Department,Islamabad, Pakistan",,"Dec 31, 2025"
,Exterior Paint Services,"Pakistan Meteorological Department,Islamabad, Pakistan",,"Dec 31, 2025"
4882/IT-7064/25-26/TMF/FWA/SCM Dte,Procurement of Laser Engraving Machine Fess Facility,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 31, 2025"
,Extraction of Fire Bullet Projectile,"Pakistan Airforce,Jacobabad, Pakistan",,"Dec 31, 2025"
RED-LHR-LIFT-SLB-GUJ-14-2025,Replacement of Main Control Inverter of Lift SLB Gujranwala,"State Life Insurance Corporation of Pakistan,Lahore, Pakistan",,"Dec 31, 2025"
4882/RT-7016 (A)/TMF/FWA/25-26/SCM Dte,Procurement of Electronic Circuit Cards with 5x Items,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 31, 2025"
7885/RT-8706/FOR-B/GF/25-26/SCM Dte,Up-gradation of CNC Lathe Machine Software / Hardware,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 31, 2025"
(NICL/Procurement/2025/49),Procurement of Claim Management Software,"National Insurance Company Limited,Karachi central, Pakistan",,"Dec 31, 2025"
4882/RT-70102/25-26/FWA/TMF/SCM Dte,Procurement of Safety Shoes (DMS) with 1x Items,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 31, 2025"
11 kV Termination Kits 1000 MCM and 500 MCM (I/D & O/D),11 kV Termination Kits 1000 MCM and 500 MCM,"Gujranwala Electric Power Company Limited,Gujranwala, Pakistan",,"Dec 31, 2025"
01,Purchase,"HQ Military Farm,Okara, Pakistan",,"Dec 31, 2025"
SNGPL/NP&D/HDD/TL/01/25-4,12 DIA X 77...,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 31, 2025"
,"Computer Hardware, Software,etc..","Islamabad High Court,Islamabad, Pakistan",,"Dec 30, 2025"
6020-EMES/38/E6,Repair/ Maint Works..,"Military Engineering Services (Navy),Karachi east, Pakistan",,"Dec 30, 2025"
6000-PPRA/81/E-6,Repair/ Repl Sew Lines,"Military Engineering Services (Army),Karachi central, Pakistan",,"Dec 30, 2025"
QA-19351-SR,"Civil, Electrical & Lab Furniture/Fuming","Pakistan State Oil,Karachi east, Pakistan",,"Dec 30, 2025"
RED-LHR-LIFT-SLB-FSD-13-2025,MONTHLY CONTRACT OF O/M & SERVICING OF 4 LIFT SLB FAISALABAD,"State Life Insurance Corporation of Pakistan,Lahore, Pakistan",,"Dec 31, 2025"
TN-16/2025-26,Installation of Solar Power System,"National Disaster Management Authority(NDMA),Islamabad, Pakistan",,"Dec 31, 2025"
